abidance: /əˈbaɪdəns/
capableness: /ˈkeɪpəblnəs/
profuse: /prəˈfyuːs/
acceptance: /əkˈsɛptəns/
accessibility: /əkˌsɛsəˈbɪləti/
accommodation: /əˌkɒməˈdeɪʃən/
achievement: /əˈtʃiːvmənt/
accountancy: /əˈkaʊntənsi/
accumulation: /əˌkjuːmjʊˈleɪʃən/
accurateness: /ˈækjʊrətnəs/
accustoming to: /əˈkʌstəmɪŋ tuː/
accomplishing: /əˈkʌmplɪʃɪŋ/
acquisition: /ˌækwɪˈzɪʃən/
activity: /ækˈtɪvəti/
addressing: /əˈdrɛsɪŋ/
adherence to: /ədˈhɪərəns tuː/
adjacency: /əˈdʒeɪsənsi/
adjusting: /əˈdʒʌstɪŋ/
admiration: /ˌædməˈreɪʃən/
admission: /ədˈmɪʃən/
advancement: /ədˈvænsmənt/
affordability: /əˌfɔːrdəˈbɪləti/
agendum: /əˈdʒɛndəm/
agency: /ˈeɪdʒənsi/
aggressiveness: /əˈɡrɛsɪvnəs/
agreeance: /əˈɡriːəns/
allocation: /ˌæləˈkeɪʃən/
allowance: /əˈlaʊəns/
alternativeness: /ɔːlˈtɜːrnətɪvnəs/
annunciamento: /əˌnʌnsɪəˈmɛnto/
annually: /ˈænjʊəli/
anxiety: /æŋˈzaɪəti/
appealing: /əˈpiːlɪŋ/
application: /ˌæplɪˈkeɪʃən/
assignation: /ˌæsɪɡˈneɪʃən/
appreciating: /əˈpriːʃɪeɪtɪŋ/
apprehension: /ˌæprɪˈhɛnʃən/
apprenticeship: /əˈprɛntɪsʃɪp/
approaching: /əˈproʊtʃɪŋ/
arranging: /əˈreɪndʒɪŋ/
arrival: /əˈraɪvəl/
ascertainment: /ˌæsərˈteɪnmənt/
aspectual: /əˈspɛkʧuəl/
assembling: /əˈsɛmbliŋ/
assessment: /əˈsɛsmənt/
assets: /ˈæsɛts/
assignation: /ˌæsɪɡˈneɪʃən/
